"SITE_ID","SITE_NUM","SITE_NAME","STATE","COUNTY","LATITUDE","LONGITUDE","UPDATE_DATE"
"CRM435","435.0","Craters of the Moon NM and Preserve","ID","Butte","43.4606","-113.5622","01/30/2020 13:25:29"
"DEV412","412.0","Death Valley NM","CA","Inyo","36.5089","-116.8478","01/30/2020 13:25:29"
"GRT434","434.0","Grand Teton NP","WY","Teton","43.6708","-110.5995","01/30/2020 13:25:29"
"VPI120","120.0","Blue Grass Trail","VA","Giles","37.3232","-80.4572","09/02/2020 00:00:00"
"UMA009","9.0","Confederated Tribes of the Umatilla Indian Reservation","WA","Columbia","46.2026","-117.9539","11/09/2020 16:09:06"
"OXF122","122.0","Oxford","OH","Butler","39.531115","-84.723547","01/30/2020 13:25:29"
"PAR107","107.0","Parsons","WV","Tucker","39.090434","-79.661742","01/30/2020 13:25:29"
"PAR207","207.0","Parsons Collocated","WV","Tucker","39.090434","-79.661742","01/30/2020 13:25:29"
"PBF129","129.0","Perryville","KY","Boyle","37.68","-84.97","01/30/2020 13:25:29"
"PED108","108.0","Prince Edward","VA","Prince Edward","37.165222","-78.307067","01/30/2020 13:25:29"
"ONL102","102.0","Oak Ridge","TN","Anderson","35.96","-84.29","01/30/2020 13:25:29"
"PIN414","414.0","Pinnacles NM","CA","San Benito","36.483235","-121.156876","01/30/2020 13:25:29"
"PND165","165.0","Pinedale","WY","Sublette","42.929031","-109.787796","01/30/2020 13:25:29"
"PNF126","126.0","Cranberry","NC","Avery","36.105435","-82.045015","01/30/2020 13:25:29"
"POF425","425.0","Poker Flats - Yukon Flats NM","AK","Fairbanks North Star","65.1178","-147.4333","01/30/2020 13:25:29"
"PRK134","134.0","Perkinstown","WI","Taylor","45.206525","-90.597209","01/30/2020 13:25:29"
"PSU106","106.0","Penn State","PA","Centre","40.720902","-77.931759","01/30/2020 13:25:29"
"QAK172","172.0","Quaker City","OH","Noble","39.942714","-81.337914","01/30/2020 13:25:29"
"QAK272","272.0","Quaker City Collocated","OH","Noble","39.942714","-81.337914","01/30/2020 13:25:29"
"RCK163","163.0","Reynolds Creek","ID","Owyhee","43.21","-116.75","01/30/2020 13:25:29"
"RCK263","263.0","Reynolds Creek Collocated","ID","Owyhee","43.21","-116.75","01/30/2020 13:25:29"
"ROM206","206.0","Rocky Mtn NP Collocated","CO","Larimer","40.278129","-105.545635","01/30/2020 13:25:29"
"ROM406","406.0","Rocky Mtn NP","CO","Larimer","40.278129","-105.545635","01/30/2020 13:25:29"
"SAL133","133.0","Salamonie Reservoir","IN","Wabash","40.816038","-85.661407","01/30/2020 13:25:29"
"SAV164","164.0","Saval Ranch","NV","Elko","41.29","-115.86","01/30/2020 13:25:29"
"SCR180","180.0","Scotia Range","PA","Centre","40.7884","-77.9464","01/30/2020 13:25:29"
"SHN418","418.0","Shenandoah NP - Big Meadows","VA","Madison","38.5231","-78.43471","01/30/2020 13:25:29"
"SIK270","270.0","Sikes Collocated","LA","Winn","32.0575","-92.4353","01/30/2020 13:25:29"
"SND152","152.0","Sand Mountain","AL","DeKalb","34.289001","-85.970065","01/30/2020 13:25:29"
"SPD111","111.0","Speedwell","TN","Claiborne","36.46983","-83.826511","01/30/2020 13:25:29"
